,lemma
1,snotty
4,lying in trade
6,buttfucker
8,assplay
16,nerdiness
18,putz
21,retrolateral
22,pædant
25,clann
26,rentboy
27,ponce
29,prate
31,wankiest
32,lawlessly
33,muthafucker
34,narcism
35,homophobic slurs
36,black-legger
38,overseas press
39,cosanostra
42,hubrus
44,dastardliness
45,m o f f i a
47,dietrology
49,politics and current events
50,mancraziness
51,folderol
52,usura
54,courtisanerie
57,changeling
59,buffoon
60,shot caller
64,beyotch
65,pandering
68,sluttish
70,half-wit
71,crooned
72,anatomical term of location
74,babble
75,rascal
76,bragger
77,tooshie
78,mongrel
79,teaching aid
80,lying by omission
84,swindler
87,changeling
88,girl-crazily
92,sicilian mobsters
94,fashism
95,society figure
97,mark
98,slovenly person
99,boy-craziest
100,woman-craziness
102,hypersexualism
103,pimpet
105,tail
106,scheme
108,female sex workers
109,anatomic position
110,recreant
112,imp
115,crimination
118,pandemonium
120,rafts
121,interfertility
123,zealotry
124,prostitude
126,sewerage
127,posteriorly
129,new borns
131,lummox
132,narcissists
134,book-louse
139,conspiratard
141,shy lock
146,scientismist
149,pedants
151,pederastry
152,barrack
154,coo-yon
155,soft touch
157,schlong
158,lying by omission
159,bollock
160,buttcheeks
161,stealing
162,monkey
163,grumbler
164,pimping
165,nigga
169,nymphomaniacs
170,nymphomaniac
172,stumbler
176,cross-breed
177,dependencia sexual
179,homoeroticism
182,papparazi
186,mother-fucker
194,rapscallion
196,saphead
197,fundamental regime
199,dumbbell
203,piener
204,whoremongers
206,dime novels
211,moronic
213,loose woman
214,african-negros
215,conventicles
216,street girl
221,mongolchuud
222,flesh mongers
224,wither
226,flouter
227,machinate
229,newspaperman
230,band
231,hetairism
235,doxy
236,orangeish blacks
243,niggar
244,stupidhead
245,cheekiness
246,m.o.f.f.i.a.
247,wise guy
251,compulsive sexualities
252,freimaurer
253,sex client
254,dark-brown
257,juddaism
258,anterial
260,moffias
261,bottom
262,moth
265,criminous
266,sheik
268,chump
269,muff
270,goon
273,judaist
274,birin
275,stoled
277,sexually compulsive
278,rapscallion
279,kerb-crawler
280,man-crazily
281,maffias
282,mass
283,celebrity photographer
288,boaster
291,ab axis
292,prankster
294,winterdyke
295,mongolids
297,derierre
298,facism- meaning
299,properties of msw
304,caper
305,wardress
308,bendouin
314,bum
317,fascist
318,mannii
319,incriminates
324,m.o.f.f.i.a.
326,rookie
331,garbage
335,fabricator
343,kerb crawling
344,heaps
348,homophilia
352,barbarian
355,criminally
366,smart
367,ballock
368,homosexual
369,undoer
370,knavish
373,simpleton
374,cowardliness
375,know
376,egotisms
377,trumpery
379,mole
380,sucker
383,the masons
385,messalina complex
387,pédant
389,retard
390,pietism
392,katerfelts
393,lampyris bellieri
394,gossips
395,sicilian mobsters
398,latino
405,great company
407,crossbred
408,nazi
410,rat
411,villainous
414,strike breakers
415,blackleggers
416,moo-cow
421,behavioral signals of lying
422,patsy
424,kerbcrawling
426,fundamentalists
427,theif
429,mongloids
430,dissembled
431,zigan
433,idolized
436,m. o. f. f. i. a.
437,villainesses
439,outlawry
442,rez car
445,foreskins
446,larsony
447,freezer-duty
449,unintelligence
451,antic
453,police officers
456,bedouin
458,masses
459,w-h-word
460,do-gooder
461,zaptiah
462,worship
463,gang
467,ringleader
468,crossdressing
470,craftiness
473,brothel-keeper
474,hyperphilias
475,huckster
476,dick
477,schoolmarm
482,snaparazzi
483,untruth
484,new-borns
485,fag
486,fatuously
487,puss
488,dope
491,dudett
498,patsy
499,mf'er
501,oleaginous
505,ass
506,usurer
508,jewish
509,pop off
511,handjob
512,effers
513,wanky
514,clichéd
515,testes
517,lav
518,gentlelady
519,dissembled
523,cantharis noctiluca
524,casinoes
527,outlawry
534,smatter
535,john
536,tattle
537,Çingene
543,assfuck
544,idiot
546,idiocy
550,john
551,odds and ends
552,john
553,shakkanho
554,transformismo
559,vagina
560,henchmen
562,superciliousness
563,gaymen
573,craven
574,negro
575,vanity
578,bargain
581,womancraziest
582,bigot
583,money-lending
584,gormandise
586,hyper sexuality
588,male sexuality
589,ostrogoths
591,do-nothing
594,correspondent
597,mongrelism
598,dissembles
599,hypersexuals
601,the egoist
602,babe
604,police man
609,wankers
612,pest resistance
614,Черножопый
615,proximodistally
618,rent-boy
619,mancrazier
620,ingroup
624,courtisane
628,caudal
629,demagogues
630,papa chester
631,paid sex
633,metic
634,sluttishly
635,hypersexually
636,hyper-sexualist
637,brown
639,dehydrate
640,fool
641,bounder
644,hybridisation event
645,كس
648,shaven haven
649,boycraziest
651,process
652,superciliousness
653,flub
654,transvestites
655,junky
664,sodomise
666,putz
667,blackeness
668,money-lending
671,anteriorly
672,cow's size
676,lots
678,mug
679,clothes maidens
685,jerry
686,theivery
687,conformists
689,אגוטיזם
690,police man
691,ruiner
693,mafiosi
695,judaity
697,roll in the hay
699,snuff it
700,orange blacks
701,wankily
702,female illusionist
704,schoolmistress
705,homophilic
708,blather
709,narcissistical
712,clansmen
714,fuckhead
716,mazafaka
717,girl craziest
720,african-negroes
721,bawd
722,know-all
727,cross-breeding
728,conspiracy theorist
729,sly
730,prepuce
733,officer
734,ballup
736,people
737,homosexulity
738,tai ee long
739,mid-clavicular line
749,abactor
750,sucker
751,szgany
756,groid
757,fraudster
759,cross
760,imbecile
761,working rich
763,infants
766,extreme right-winger
768,sextraders
770,villan
771,money lending
772,school marm
774,chiseller
775,sonuvabitch
776,masses
778,dogmatism
779,zaptiah
783,fucknut
784,sleiveen
787,persons involved in the sex trade
789,blackishorange
790,scrabble
792,brothel-keeper
793,freemasonic
794,trollop
799,paper-pusher
800,half-wit
801,freshness
802,japanese units
804,ostentation
