,0
0,horrible
1,disgusting
2,moron
3,bastard
4,stupid
5,bitch
6,scumbag
7,stupid
8,horrible
9,ass
10,idiot
11,bastard
12,slut
13,vile
14,redneck
15,filth
16,cretin
17,sadist
18,crap
19,sociopath
20,arent
21,stink
22,revolting
23,rotten
24,bigot
25,bitch
26,brat
27,scum
28,crappy
29,stinky
30,rubbish
31,fuck
32,slut
33,liar
34,filthy
35,nerd
36,hypocrite
37,nutcase
38,whore
39,stinking
40,lout
41,stink
42,wanker
43,crap
44,rubbish
45,dolt
46,hideous
47,shit
48,lunatic
49,pest
50,snot
51,egomaniac
52,perverted
53,crap
54,twat
55,fart
56,cunt
57,bugger
58,dumbass
59,commie
60,wretch
61,psychopath
62,despicable
63,fuck
64,piss
65,pathetic
66,vermin
67,buffoon
68,lowlife
69,schmuck
70,hateful
71,fag
72,slimy
73,sadistic
74,sux
75,horrid
76,crackpot
77,lousy
78,weird
79,chav
80,rubbish
81,scruffy
82,sexist
83,revolting
84,fucking
85,heartless
86,prank
87,twerp
88,loony
89,inbred
90,phony
91,faggot
92,git
93,nitwit
94,bugger
95,dimwit
96,prank
97,shit
98,weird
99,tyrant
100,stinking
101,wack
102,pussy
103,arse
104,geezer
105,nigger
106,inhuman
107,malicious
108,badass
109,selfish
110,moronic
111,fart
112,snide
113,putrid
114,lewd
115,weird
116,hater
117,arrogant
118,snot
119,hoe
120,damn
121,scum
122,retard
123,sickening
124,jerk
125,piss
126,smelly
127,imbecile
128,underhanded
129,lunatic
130,bimbo
131,twat
132,madman
133,lame
134,whiner
135,idiotic
136,sucky
137,sod
138,depraved
139,uncaring
140,abomination
141,shit
142,fucking
143,ho
144,untalented
145,bald
146,asshole
147,scoundrel
148,cruel
149,skank
150,loony
151,misogynist
152,tyrant
153,homicidal
154,kook
155,spiteful
156,deceitful
157,dishonest
158,brutish
159,druggie
160,phony
161,freaky
162,insulting
163,cruel
164,crackpot
165,blowhard
166,pervert
167,miserable
168,molester
169,bigoted
170,conniving
171,hillbilly
172,deviant
173,sexist
174,pansy
175,louse
176,snivel
177,guido
178,oaf
179,incompetent
180,lame
181,silly
182,manipulative
183,scam
184,dumb
185,bitchy
186,shameful
187,whore
188,greedy
189,wank
190,fucker
191,crackhead
192,wack
193,ninny
194,dreadful
195,yokel
196,mindless
197,coward
198,scheming
199,dumb
200,cowardly
201,thug
202,pedophile
203,wacko
204,murderer
205,fiend
206,lame
207,leering
208,reprehensible
209,cock
210,stig
211,loudmouth
212,detestable
213,inbred
214,gook
215,monger
216,slacker
217,wannabe
218,smug
219,disreputable
220,cheater
221,slimeball
222,rude
223,shoddy
224,spaz
225,fuckwit
226,egotistical
227,sod
228,raving
229,booger
230,fornicator
231,simpleton
232,boorish
233,sneaky
234,pinko
235,conceited
236,sycophant
237,monster
238,ned
239,traitor
240,dyke
241,hypocritical
242,nosy
243,downright
244,womanizer
245,cheating
246,beastly
247,nerdy
248,shameless
249,sickening
250,spineless
251,inconsiderate
252,tranny
253,narcissist
254,shite
255,ignorant
256,troll
257,vindictive
258,ogre
259,wimp
260,fanboy
261,snooty
262,drivel
263,masochist
264,silly
265,awful
266,wee
267,sleazy
268,maggot
269,abominable
270,dastardly
271,sneering
272,brainless
273,drunkard
274,wastrel
275,sod
276,domineering
277,naff
278,midget
279,horny
280,huckster
281,airhead
282,lazy
283,wicked
284,lecher
285,snotty
286,motherfucker
287,torturer
288,charlatan
289,fornication
290,atrocity
291,incompetent
292,despot
293,badass
294,bollock
295,bullcrap
296,blackmailer
297,repulsive
298,derogatory
299,manky
300,bully
301,slapping
302,lucre
303,raving
304,lecherous
305,ungrateful
306,nincompoop
307,crummy
308,septic
309,heinous
310,macho
311,perpetrate
312,pikey
313,snide
314,monstrosity
315,lazy
316,hunky
317,wigger
318,disgraceful
319,worthless
320,tasteless
321,sycophant
322,deadbeat
323,brute
324,coon
325,scummy
326,arsehole
327,drunken
328,shitty
329,homophobe
330,subhuman
331,butchery
332,prig
333,cocky
334,imbecile
335,nutter
336,unprofessional
337,deviant
338,sheeple
339,windbag
340,immoral
341,demented
342,retard
343,bullying
344,wee
